ticker,segmento,tipo_anbima,valor_atual,dividend_yield,pvp_acima_de_1_valorizado,pl_anos_retorno_investimento,divida_liquida,patrimonio_liquido,preco_teto,pvp_status,valor_de_mercado,numero_de_acoes,roe
BBSE3,Seguradoras,,32.28,0.0889,6.05,8.43,-,10663193000,47.82,CARO,64560000000,2000000000,0.72
ITUB4,Bancos,,34.45,0.0762,1.84,10.61,-,183636000000,43.73,CARO,313754337401,9804135348,0.17
CSNA3,Siderurgia,,16.28,0.1204,1.22,-24.52,1.53,17762528000,32.66,LEVEMENTE CARO,21588809457,1326093947,-0.05
GGBR4,Siderurgia,,21.97,0.0687,0.76,4.75,0.11,50600937000,25.17,BARATO,37329647031,1757067050,0.16
CMIG4,Energia Elétrica,,12.07,0.082,1.09,3.98,0.32,24427784000,16.5,LEVEMENTE CARO,27865636022,2201370688,0.27
BBDC3,Bancos,,12.75,0.0794,0.82,9.80,-,166230067000,16.87,BARATO,143071163517,10642170228,0.08
ITSA4,Bancos,,10.57,0.0904,1.37,7.91,0.04,79738000000,15.92,LEVEMENTE CARO,109381497620,10328149431,0.17
USIM5,Siderurgia,,10.29,0.032,0.55,-35.55,0.01,23446307000,5.48,BARATO,12478080218,1253079108,-0.02
CXSE3,Corretoras de Seguros,,16.67,0.0606,3.92,14.17,-0.15,12760428000,16.84,CARO,50010000000,3000000000,0.28
KLBN4,Papel e Celulose,,4.98,0.0488,2.51,9.71,1.87,11159889000,4.05,CARO,27774861786,5617892756,0.26
TAEE4,Energia Elétrica,,12.05,0.062,1.87,10.88,1.26,6652326000,12.45,CARO,12422630586,1033496721,0.17
SAPR4,Água e Saneamento,,5.30,0.0582,0.84,5.38,0.46,9497433000,5.14,BARATO,7912672097,1511205519,0.16
PETR4,Exploração. Refino e Distribuição,,35.69,0.2058,1.21,3.40,0.62,386007000000,122.41,LEVEMENTE CARO,471288785121,13044496930,0.35
BBAS3,Bancos,,55.65,0.0837,0.96,4.79,-,165687124000,77.6,BARATO,159460457163,2865417020,0.2
MXRF11,Papéis,Híbrido,10.45,0.1292,1.07,,,,22.5,LEVEMENTE CARO,,,
HGLG11,Imóveis Industriais e Logísticos,Renda,168.09,0.0809,1.07,,,,226.67,LEVEMENTE CARO,,,
KNRI11,Misto,Renda,164.54,0.0745,1.03,,,,204.33,LEVEMENTE CARO,,,
KNCR11,Papéis,Títulos e Valores Mobiliários,103.01,0.1282,1.02,,,,220.17,LEVEMENTE CARO,,,
XPML11,Shoppings,Renda,116.19,0.0883,1.05,,,,171.0,LEVEMENTE CARO,,,
